Project ID,Project Name,Node Type,Path,Depth,Node ID,Start Date,Finish Date
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\Bugs and Clean UP,3,776,2019-12-16T00:00:00Z,2020-01-03T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019 Mar Sprint 1,3,5468,2019-01-07T00:00:00Z,2019-01-18T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019 Mar Sprint 2,3,5469,2019-01-21T00:00:00Z,2019-02-01T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019 Mar Sprint 3,3,5470,2019-02-04T00:00:00Z,2019-02-15T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.03 Sprint 4,3,5471,2019-02-18T00:00:00Z,2019-03-01T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.04 Sprint 1,3,5472,2019-03-04T00:00:00Z,2019-03-08T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.04 Sprint 2,3,5473,2019-03-18T00:00:00Z,2019-03-29T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.04 Sprint 3,3,5474,2019-04-01T00:00:00Z,2019-04-12T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.04 Sprint 4,3,5475,2019-04-15T00:00:00Z,2019-04-26T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.06 Sprint 1,3,5476,2019-04-29T00:00:00Z,2019-05-10T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.06 Sprint 2,3,5477,2019-05-13T00:00:00Z,2019-05-24T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.06 Sprint 3,3,5478,2019-05-27T00:00:00Z,2019-06-07T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.06 Sprint 4,3,5479,2019-06-10T00:00:00Z,2019-06-21T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.08 Sprint 1,3,5480,2019-06-24T00:00:00Z,2019-07-05T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.08 Sprint 2,3,5481,2019-07-08T00:00:00Z,2019-07-19T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.08 Sprint 3,3,5482,2019-07-22T00:00:00Z,2019-08-02T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.08 Sprint 4,3,5483,2019-08-05T00:00:00Z,2019-08-16T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.10 Sprint 1,3,5484,2019-08-19T00:00:00Z,2019-08-30T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.10 Sprint 2,3,5485,2019-09-02T00:00:00Z,2019-09-13T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.10 Sprint 3,3,5486,2019-09-16T00:00:00Z,2019-09-27T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.10 Sprint 4,3,5487,2019-09-30T00:00:00Z,2019-10-11T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2019\2019.02 Cadence - Sprint 4 Bugs,3,5517,2019-02-13T00:00:00Z,2019-02-19T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020,2,7190,2020-01-06T00:00:00Z,2021-01-01T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.03 Sprint 1,3,777,2020-01-06T00:00:00Z,2020-01-17T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.03 Sprint 2 (4.2.3 Bugs),3,5305,2020-01-20T00:00:00Z,2020-01-31T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.03 Sprint 3,3,5306,2020-02-03T00:00:00Z,2020-02-14T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.03 Sprint 4,3,5307,2020-02-17T00:00:00Z,2020-02-28T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020 April Sprint 1,3,5789,2020-03-02T00:00:00Z,2020-03-13T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020 April Sprint 2,3,5790,2020-03-16T00:00:00Z,2020-03-27T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020 April Sprint 3,3,5791,2020-03-30T00:00:00Z,2020-04-10T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020 April Sprint 4,3,5792,2020-04-13T00:00:00Z,2020-04-24T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.05 May Sprint 1,3,5845,2020-04-27T00:00:00Z,2020-05-08T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.05 May Sprint 2 (4.2.4 Bugs),3,5846,2020-05-11T00:00:00Z,2020-05-29T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.05 May Sprint 3,3,5847,2020-06-01T00:00:00Z,2020-06-12T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.05 May Sprint 4,3,5848,2020-06-15T00:00:00Z,2020-06-26T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.07 Sprint 1 Development,3,6290,2020-06-29T00:00:00Z,2020-07-10T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.07 Sprint 2 Bugs,3,6291,2020-07-13T00:00:00Z,2020-07-24T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.07 Sprint 3 Dev,3,6292,2020-07-27T00:00:00Z,2020-08-07T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.08 Sprint 1 Development,3,6293,2020-08-10T00:00:00Z,2020-08-21T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.08 Sprint 2 Development,3,6294,2020-08-24T00:00:00Z,2020-09-04T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.09 Sprint 1,3,6324,2020-09-07T00:00:00Z,2020-09-18T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.09 Sprint 2,3,6325,2020-09-21T00:00:00Z,2020-10-02T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.10 Sprint 1,3,6326,2020-10-05T00:00:00Z,2020-10-16T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.10 Sprint 2,3,6327,2020-10-19T00:00:00Z,2020-10-30T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.11 Nov Sprint 1,3,6360,2020-11-02T00:00:00Z,2020-11-13T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.11 Nov Sprint 2,3,6366,2020-11-16T00:00:00Z,2020-11-27T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2020\2020.11 Nov Sprint 3,3,6442,2020-11-30T00:00:00Z,2020-12-11T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021,2,7191,2021-01-04T00:00:00Z,2022-01-07T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.01 Jan Sprint 1,3,6503,2021-01-04T00:00:00Z,2021-01-15T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.01 Jan Sprint 2,3,6539,2021-01-18T00:00:00Z,2021-01-29T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.02 Feb Sprint 1,3,6540,2021-02-01T00:00:00Z,2021-02-12T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.02 Feb Sprint 2,3,6541,2021-02-15T00:00:00Z,2021-02-26T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.03 Mar Sprint 1,3,6542,2021-03-01T00:00:00Z,2021-03-19T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.03 Mar Sprint 2,3,6543,2021-03-22T00:00:00Z,2021-04-02T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.04 Apr Sprint 1,3,6670,2021-04-05T00:00:00Z,2021-04-16T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.04 Apr Sprint 2,3,6671,2021-04-19T00:00:00Z,2021-04-30T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.05 May Sprint 1,3,6672,2021-05-03T00:00:00Z,2021-05-14T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.05 May Sprint 2,3,6673,2021-05-17T00:00:00Z,2021-05-28T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.04 Apr Sprint1,3,6680,2021-04-05T00:00:00Z,2021-04-16T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.04 Apr Sprint2,3,6681,2021-04-19T00:00:00Z,2021-04-30T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.06 June Sprint 1,3,6809,2021-05-31T00:00:00Z,2021-06-11T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.06 June Sprint 2,3,6810,2021-06-14T00:00:00Z,2021-06-25T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.07 July Sprint 1,3,6825,2021-06-28T00:00:00Z,2021-07-09T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.07 July Sprint 2,3,6826,2021-07-12T00:00:00Z,2021-07-23T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.07 July Sprint 3,3,6827,2021-07-26T00:00:00Z,2021-08-06T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.08 Aug Sprint 1,3,6828,2021-08-09T00:00:00Z,2021-08-20T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.08 Aug Sprint 2,3,6829,2021-08-23T00:00:00Z,2021-09-03T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.09 Sept Sprint 1,3,6878,2021-09-06T00:00:00Z,2021-09-17T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.09 Sept Sprint 2,3,6879,2021-09-20T00:00:00Z,2021-10-01T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.10 Oct Sprint 1,3,6918,2021-10-04T00:00:00Z,2021-10-15T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.10 Oct Sprint 2,3,6919,2021-10-18T00:00:00Z,2021-10-29T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.11 Nov Sprint 1,3,6920,2021-11-01T00:00:00Z,2021-11-12T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.11 Nov Sprint 2,3,6921,2021-11-15T00:00:00Z,2021-11-26T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.12 Dec Sprint 1,3,6922,2021-11-29T00:00:00Z,2021-12-10T00:00:00Z
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,Iteration,Authentication Services\2021\2021.12 Dec Sprint 2,3,6923,2021-12-13T00:00:00Z,2021-12-24T00:00:00Z
